,words,fdc_id,weight
776,ice,167683,0.5
777,cream,167683,0.5
778,vanilla,167683,0.5
779,ice,167683,0.5
780,cream,167683,0.5
781,light,167683,0.5
782,sugar,167683,0.5
783,chocolate,167683,0.5
784,coated,167683,0.5
785,creamy,167684,1.5
786,dressing,167684,1.5
787,sour,167684,1.5
788,cream,167684,1.5
789,buttermilk,167684,1.5
790,oil,167684,1.5
791,reduced,167684,1.5
792,calorie,167684,1.5
793,bologna,167685,0.5
794,beef,167685,0.5
795,pork,167685,0.5
796,low,167685,0.5
797,fat,167685,0.5
798,milk,167686,0.5
799,milk,167686,0.5
800,fat,167686,0.5
801,free,167686,0.5
802,chocolate,167686,0.5
803,whipped,167687,1.5
804,low,167687,1.5
805,fat,167687,1.5
806,cream,167688,1.5
807,substitute,167688,1.5
808,powdered,167688,1.5
809,light,167688,1.5
810,mars,167689,0.5
811,peanut,167689,0.5
812,butter,167689,0.5
813,chocolate,167689,0.5
814,vegetable,167691,1.5
815,oil,167691,1.5
816,butter,167691,1.5
817,spread,167691,1.5
818,reduced,167691,1.5
819,calorie,167691,1.5
820,salad,167692,1.5
821,dressing,167692,1.5
822,blue,167692,1.5
823,roquefort,167692,1.5
824,cheese,167692,1.5
825,dressing,167692,1.5
826,light,167692,1.5
827,salad,167693,1.5
828,dressing,167693,1.5
829,french,167693,1.5
830,dressing,167693,1.5
831,reduced,167693,1.5
832,calorie,167693,1.5
833,sausage,167694,0.5
834,turkey,167694,0.5
835,pork,167694,0.5
836,bulk,167694,0.5
837,patty,167694,0.5
838,link,167694,0.5
839,mayonnaise,167695,1.5
840,tofu,167695,1.5
841,frankfurter,167696,0.5
842,beef,167696,0.5
843,low,167696,0.5
844,fat,167696,0.5
845,milk,167697,1.5
846,buttermilk,167697,1.5
847,fluid,167697,1.5
848,cultured,167697,1.5
849,reduced,167697,1.5
850,fat,167697,1.5
851,pork,167698,0.5
852,sausage,167698,0.5
853,rice,167698,0.5
854,links,167698,0.5
855,brown,167698,0.5
856,serve,167698,0.5
857,salad,167699,1.5
858,dressing,167699,1.5
859,blue,167699,1.5
860,roquefort,167699,1.5
861,cheese,167699,1.5
862,dressing,167699,1.5
863,fat,167699,1.5
864,free,167699,1.5
865,salad,167700,1.5
866,dressing,167700,1.5
867,mayonnaise,167700,1.5
868,fat,167700,1.5
869,free,167700,1.5
870,mars,167701,0.5
871,milky,167701,0.5
872,way,167701,0.5
873,midnight,167701,0.5
874,bar,167701,0.5
875,oil,167702,1.5
876,flaxseed,167702,1.5
877,cold,167702,1.5
878,pressed,167702,1.5
879,cheese,167703,1.5
880,cottage,167703,1.5
881,lowfat,167703,1.5
882,milkfat,167703,1.5
883,lactose,167703,1.5
884,reduced,167703,1.5
885,salad,167704,1.5
886,dressing,167704,1.5
887,bacon,167704,1.5
888,tomato,167704,1.5
889,cheese,167705,1.5
890,parmesan,167705,1.5
891,low,167705,1.5
892,jams,167706,0.5
893,preserves,167706,0.5
894,marmalade,167706,0.5
895,reduced,167706,0.5
896,sugar,167706,0.5
897,fruit,167707,0.5
898,powder,167707,0.5
899,high,167707,0.5
900,other,167707,0.5
